"ASSESSID","B_msy","C_msy"
"WGNSSK-CODNS-1962-2007-MINTO",836284,260478.528616446
"WGNSSK-HADNS-IIIa-1963-2006-MINTO",1667420,287250.642160766
"WGNSSK-HADROCK-1990-2007-JENNINGS",NA,4788.99824449742
"WGNSSK-NPOUTNS-1983-2007-MINTO",659068,181479.008805439
"WGNSSK-PLAIC7d-1979-2006-MINTO",NA,5678.06629208477
"WGNSSK-PLAICIIIa-1976-2006-MINTO",NA,12122.6652886727
"WGNSSK-PLAICNS-1956-2006-MINTO",NA,115437.700578347
"WGNSSK-POLLNS-VI-IIIa-1964-2006-MINTO",1036930,160298.879070993
"WGNSSK-SEELNS-1983-2007-MINTO",1904420,669483.80618693
"WGNSSK-SOLENS-1956-2006-MINTO",NA,21562.8467175412
"WGNSSK-SOLEVIId-1981-2006-MINTO",15948.5,4560.89898572634
"WGNSSK-WHITNS-VIId-IIIa-1979-2006-MINTO",457963,117862.161483358
"WGSSDS-HADVIIb-k-1993-2006-JENNINGS",NA,5717.50039757842
"WGSSDS-PLAICCELT-1976-2006-JENNINGS",3940.92,1200.99527838359
"WGSSDS-PLAICECHW-1975-2006-JENNINGS",7041.32,1377.49436525026
"WGSSDS-SOLECS-1970-2006-JENNINGS",4435.45,1235.66960424359
"WGSSDS-SOLEVIIe-1968-2006-JENNINGS",6929.88,1122.93484694162
"WGSSDS-WHITVIIek-1982-2007-JENNINGS",60728.9,13487.7248861655
