"ASSESSID","LME_NAME","SCIENTIFICNAME","COMMON","AREA","LME_NUMBER","LME_COUNT","BIOMASS_TS_LENGTH","LANDINGS_TS_LENGTH","B_msy","C_msy","if_collapse_cmsy","nyr_collapse_cmsy","if_collapse_bmsy","nyr_collapse_bmsy"
"MARAM-SARDSA-1984-2006-deMoor","Benguela Current","Sardinops sagax","Sardine","South Africa",29,2,23,23,1860220,227430.471706407,0,0,1,6
"MARAM-SSLOBSTERSASC-1973-2008-Johnston","Agulhas Current","Palinurus gilchristi","Southern spiny lobster","South Africa South coast",30,1,36,36,904.625,424.936017186822,0,0,0,0
"NAFO-SC-AMPL3LNO-1955-2007-BAUM","Newfoundland-Labrador Shelf","Hippoglossoides platessoides","American Plaice","Grand Banks",9,1,48,47,1807630,42954.9348944185,0,0,1,36
"NAFO-SC-AMPL3M-1960-2007-BAUM","Newfoundland-Labrador Shelf","Hippoglossoides platessoides","American Plaice","Flemish Cap",9,1,20,48,1.03e+15,1474.14627712878,0,0,1,20
"NAFO-SC-COD3M-1959-2008-BAUM","Newfoundland-Labrador Shelf","Gadus morhua","Atlantic cod","Flemish Cap",9,1,21,49,31909.7,21694.2093728189,1,7,1,8
"NAFO-SC-COD3NO-1953-2007-BAUM","Newfoundland-Labrador Shelf","Gadus morhua","Atlantic cod","Southern Grand Banks",9,1,49,54,2.05e+17,72159.9574501909,1,15,1,49
"NAFO-SC-GHAL23KLMNO-1960-2006-PREFONTAINE","Newfoundland-Labrador Shelf","Reinhardtius hippoglossoides","Greenland halibut","Labrador Shelf - Grand Banks",9,1,32,47,194547,29559.3849300423,0,0,0,0
"NAFO-SC-REDFISHSPP3LN-1959-2008-BAUM","Newfoundland-Labrador Shelf","Sebastes spp","Redfish species","N and SW Grand Banks",9,1,50,49,140267,23204.0148900273,0,0,0,0
"NAFO-SC-REDFISHSPP3M-1985-2006-PREFONTAINE","Newfoundland-Labrador Shelf","Sebastes spp","Redfish species","Flemish Cap",9,1,18,18,NA,27008.6755399743,0,0,0,0
"NAFO-SC-YELL3LNO-1960-2009-BAUM","Northeast U.S. Continental Shelf","Limanda ferruginea","Yellowtail Flounder","Grand Banks",7,2,45,48,74120.8,14979.3937546254,0,0,0,1
