ASSESSID,AREAID,km2,lat,lon
NZMFishLOBSTERWG-RROCKLOBSTERCRA4-1945-2005-JENSEN,New Zealand-MFish-CRA4,74563,-41.66,176.21
NZMFishLOBSTERWG-RROCKLOBSTERCRA5-1945-2002-JENSEN,New Zealand-MFish-CRA5,142860,-44.38,174.66
NZMFishLOBSTERWG-RROCKLOBSTERCRA7-1976-2005-JENSEN,New Zealand-MFish-CRA7,84814,-46.55,171.9
NZMFishLOBSTERWG-RROCKLOBSTERCRA8-1976-2005-JENSEN,New Zealand-MFish-CRA8,84814,-46.55,171.9
SEFSC-RSNAPEGM-1872-2003-STANTON,USA-NMFS-EGM,1009201,27.54,-87.61
SEFSC-RSNAPSATLC-1945-2006-JENSEN,USA-NMFS-SATLC,392932,31.55,-79.34
SEFSC-RSNAPWGM-1880-2003-STANTON,USA-NMFS-WGM,1147829,24.97,-93.16
DFO-PAC-RSOLEHSTR-1945-2001-COLLIE,Canada-DFO-HS,39969,53.12,-130.83
MARAM-SAABALONESA-1951-2008-PLAGANYI,South Africa-DETMCM-SA,3259438,-29.62,25.21
AFSC-SABLEFEBSAIGA-1956-2008-MELNYCHUK,USA-NMFS-EBSAIGA,4196827,57.87,-152.56
DFO-PAC-SABLEFPCAN-1913-2004-STANTON,Canada-DFO-PCOAST,1114534,52.18,-126.97
NWFSC-SABLEFPCOAST-1900-2007-BRANCH,USA-NMFS-PCOAST,3246712,39.54,-120.48
SWFSC-SARDPCOAST-1981-2007-PINSKY,USA-NMFS-PCOAST,3246712,39.54,-120.48
WGMHSA-SARDPVIIIc-IXa-1978-2007-JENNINGS,multinational-ICES-VIIIc-IXa,501146,40.69,-7.69
MARAM-SARDSA-1984-2006-deMoor,South Africa-DETMCM-SA,3259438,-29.62,25.21
SEFSC-SBARSHARATL-1975-2004-FAUCONNET,USA-NMFS-ATL,4001904,34.74,-65.83
SWFSC-SBELLYROCKPCOAST-1950-2005-BRANCH,USA-NMFS-PCOAST,3246712,39.54,-120.48
CCSBT-SC-SBT-1931-2009-Parma,multinational-CCSBT-SO,46033059,-70.49,-0.85
NZMFishMIDDEPTHSWG-SBWHITACIR-1979-2006-JENSEN,New Zealand-MFish-CIR,227989,-53.16,171.32
INIDEP-SBWHITARGS-1985-2007-Parma,Argentina-CFP-ARG-S,2924714,-50,-59.28
NEFSC-SCALLGB-1964-2006-HART,USA-NMFS-5Z,185058,40.67,-68.69
NEFSC-SCALLMATLC-1964-2006-HART,USA-NMFS-MATLC,496532,38.02,-74.36
