"ASSESSID","COMMON","Scientific_name","MGMT","AREA","LME_NAME","LME_NUMBER","NUM_LMEs","BRP_BMSY","BRP_SSBMSY","metric_TOTAL","metric_SSB","firstYR_TOTAL","firstYR_SSB","mean_ut","median_ut","q90_ut","mean_umsy","median_umsy","q90umsy"
"AFSC-WPOLLEBS-1963-2008-MELNYCHUK","Walleye pollock","Theragra chalcogramma","NMFS","Eastern Bering Sea","East Bering Sea",1,NA,NA,1919000,"MT","MT",1964,1964,0.186644169446155,0.15119280653951,0.304656633010517,NA,NA,NA
"AFSC-WPOLLGA-1964-2008-MELNYCHUK","Walleye pollock","Theragra chalcogramma","NMFS","Gulf of Alaska","Gulf of Alaska",2,NA,903000,208000,"MT","MT",1977,1977,0.0802108449412597,0.0709498371335505,0.137310696095076,0.428934999685881,0.379410893762302,0.734281797299874
"AFSC-YSOLEBSAI-1959-2008-MELNYCHUK","Yellowfin sole","Solea vulgaris","NMFS","Bering Sea and Aleutian Islands","East Bering Sea",1,NA,NA,329000,"MT","MT",1964,1964,0.0499928824033996,0.045817657538702,0.0755383907846183,NA,NA,NA
"AFWG-CAPENOR-1965-2007-MINTO","Capelin","Mallotus villosus","ICES","Barents Sea","Barents Sea",20,1,NA,NA,"MT","MT",1972,1973,0.221411086571276,0.163218390804598,0.487525194269632,NA,NA,NA
"AFWG-CODCOASTNOR-1982-2006-MINTO","Atlantic cod","Gadus morhua","ICES","North-East Arctic","Norwegian Sea",21,2,NA,NA,"MT","MT",1984,1984,0.231431104047695,0.240597892673364,0.298897748054023,NA,NA,NA
"AFWG-CODNEAR-1943-2006-MINTO","Atlantic cod","Gadus morhua","ICES","North-East Arctic","Barents Sea",20,2,NA,NA,"MT","MT",1946,1946,0.353138349202478,0.355480606926787,0.46443554767099,NA,NA,NA
"AFWG-GHALNEAR-1959-2007-JENNINGS","Greenland halibut","Reinhardtius hippoglossoides","ICES","North-East Arctic","Barents Sea",20,2,NA,NA,"MT","MT",1964,1964,0.209335130793829,0.202796468233358,0.2860405231617,NA,NA,NA
"AFWG-GOLDREDNEAR-1986-2006-MINTO","Golden Redfish","Sebastes norvegicus","ICES","North-East Arctic","Barents Sea",20,2,NA,NA,"MT","MT",1990,1990,0.13628125472625,0.133923303834808,0.167261598341722,NA,NA,NA
"AFWG-HADNEAR-1947-2006-MINTO","Haddock","Melanogrammus aeglefinus","ICES","North-East Arctic","Barents Sea",20,2,NA,NA,"MT","MT",1950,1950,0.365235341722847,0.355041485087917,0.522235880929629,NA,NA,NA
"AFWG-POLLNEAR-1957-2006-MINTO","Pollock","Pollachius virens","ICES","North-East Arctic","Barents Sea",20,2,NA,NA,"MT","MT",1960,1960,0.267952853583287,0.226726863708882,0.421348493300157,NA,NA,NA
"ASMFC-ATLCROAKMATLC-1973-2002-STANTON","Atlantic croaker","Micropogonias undulatus","NMFS","Mid-Atlantic Coast","Northeast U.S. Continental Shelf",7,1,NA,56467,"no value","MT",NA,1973,NA,NA,NA,NA,NA,NA
"ASMFC-LOBSTERGB-1981-2007-STANTON","American lobster","Homarus americanus","NMFS","Georges Bank","Northeast U.S. Continental Shelf",7,1,NA,NA,"no value","MT",NA,1982,NA,NA,NA,NA,NA,NA
"ASMFC-LOBSTERGOM-1981-2007-STANTON","American lobster","Homarus americanus","NMFS","Gulf of Maine","Northeast U.S. Continental Shelf",7,1,NA,NA,"no value","MT",NA,1982,NA,NA,NA,NA,NA,NA
"ASMFC-LOBSTERSNE-1981-2007-STANTON","American lobster","Homarus americanus","NMFS","Southern New England","Northeast U.S. Continental Shelf",7,1,NA,NA,"no value","MT",NA,1982,NA,NA,NA,NA,NA,NA
"ASMFC-PANDALGOM-1960-2009-IDOINE","Northern shrimp","Pandalus borealis","NMFS","Gulf of Maine","Northeast U.S. Continental Shelf",7,1,NA,NA,"MT","no value",1985,NA,0.313225894780174,0.275079100892244,0.616022073170732,NA,NA,NA
