"","ASSESSID","X.1","X","LME_NAME","SCIENTIFICNAME","COMMON","AREA","LME_NUMBER","LME_COUNT","BIOMASS_TS_LENGTH","LANDINGS_TS_LENGTH","B_msy","B_msy..n...2","short_ID","BMSY","lnk","maxB","hit"
"223","NZMFishLOBSTERWG-RROCKLOBSTERCRA5-1945-2002-JENSEN",223,223,"New Zealand Shelf","Jasus edwardsii",NA,NA,46,1,58,58,4205.56,4205.56,"NZMFishLOBSTERWG181",4205.56,9.03731,9279.58,1
"224","NZMFishLOBSTERWG-RROCKLOBSTERCRA7-1976-2005-JENSEN",224,224,"New Zealand Shelf","Jasus edwardsii",NA,NA,46,1,30,30,558.312,558.312,"NZMFishLOBSTERWG182",558.312,7.01807,771.213,1
"225","NZMFishLOBSTERWG-RROCKLOBSTERCRA8-1976-2005-JENSEN",225,225,"New Zealand Shelf","Jasus edwardsii",NA,NA,46,1,30,30,3342.21,3342.21,"NZMFishLOBSTERWG183",3342.21,8.80754,5645,1
"226","NZMFishMIDDEPTHSWG-GEMFISHNZ-1952-2007-JENSEN",226,226,"New Zealand Shelf","Rexea solandri","common gemfish","New Zealand",46,1,55,55,1.12e+15,1.12e+15,"NZMFishMIDDEPTHSWG184",1.1152e+15,35.341,23459.1,1
"227","NZMFishMIDDEPTHSWG-NZLINGLIN3-4-1972-2007-JENSEN",227,227,"New Zealand Shelf","Genypterus blacodes","Ling","New Zealand Areas LIN 3 and 4",46,1,36,36,91878.3,91878.3,"NZMFishMIDDEPTHSWG185",91878.3,12.1214,187345,1
"228","NZMFishMIDDEPTHSWG-NZLINGLIN5-6-1972-2007-JENSEN",228,228,"New Zealand Shelf","Genypterus blacodes","Ling","New Zealand Areas LIN 5 and 6",46,1,36,36,168477,168477,"NZMFishMIDDEPTHSWG186",168477,12.7277,339670,1
"229","NZMFishMIDDEPTHSWG-NZLINGLIN6b-1980-2006-JENSEN",229,229,"New Zealand Shelf","Genypterus blacodes","Ling","New Zealand Areas LIN 6b",46,1,27,27,8746.48,8746.48,"NZMFishMIDDEPTHSWG187",8746.48,9.76955,16835,1
"230","NZMFishMIDDEPTHSWG-NZLINGLIN72-1972-2007-JENSEN",230,230,"New Zealand Shelf","Genypterus blacodes","Ling","New Zealand Areas LIN 72",46,1,36,36,4700.54,4700.54,"NZMFishMIDDEPTHSWG188",4700.54,9.14858,9649.14,1
"231","NZMFishMIDDEPTHSWG-NZLINGLIN7WC-1972-2008-JENSEN",231,231,"New Zealand Shelf","Genypterus blacodes","Ling","New Zealand Areas LIN 7WC-WCSI",46,1,37,37,51353.8,51353.8,"NZMFishMIDDEPTHSWG189",51353.8,11.5396,104298,1
"232","NZMFishMIDDEPTHSWG-SBWHITACIR-1979-2006-JENSEN",232,232,"New Zealand Shelf","Micromesistius australis","Southern blue whiting","New Zealand - Campbell Island Rise",46,1,28,28,73932.1,73932.1,"NZMFishMIDDEPTHSWG190",73932.1,11.904,126956,1
"233","NZMFishMIDDEPTHSWG-SOUTHHAKECR-1975-2006-JENSEN",233,233,"New Zealand Shelf","Merluccius australis","Southern hake","Chatham Rise",46,1,32,32,43967.4,43967.4,"NZMFishMIDDEPTHSWG191",43967.4,11.3843,62986.5,1
"234","NZMFishMIDDEPTHSWG-SOUTHHAKESA-1975-2007-JENSEN",234,234,"New Zealand Shelf","Merluccius australis","Southern hake","Sub-Antarctic",46,1,33,33,61222.2,61222.2,"NZMFishMIDDEPTHSWG192",61222.2,11.7154,129739,1
"235","NZMFishSHELLFISHWG-PAUAPAU5A-1964-2006-JENSEN",235,235,"New Zealand Shelf","Haliotis iris",NA,NA,46,1,43,42,704.538,704.538,"NZMFishSHELLFISHWG193",704.538,7.25069,1225.96,1
